rating,name,postal_code,city,state,latitude,longitude,review_count,cuisine,WheelchairAccessible,WiFi,BusinessAcceptsCreditCards,Alcohol,NoiseLevel,RestaurantsPriceRange2,RestaurantsAttire,Smoking,RestaurantsReservations,OutdoorSeating,GoodForKids,avg_word_count,wine,chocolate,sum,dim,perfect,sweet,chinese,bread,breakfast,happy,loved,selection,manager,spot,corn,dessert,fantastic,sushi,super,bbq,pastries,crust,brunch,taco,perfectly,dish,asked,wonderful,phoenix,rice,waitress,flavors,mesa,bobby,highly,enjoyed,pho,local,flay,worst,fried,chef,croissant,cool,bakery,horrible,bianco,shop,bacon,cream,absolutely,salsa,spicy,hour,yelp,pittsburgh,enjoy,macarons,prices,italian,feel,friends,list,primanti,ingredients,tea,roasted,light,rude,pork,wings,lobster,ribs,places,chips,roll,terrible,pasta,mexican,cake,yummy,appetizer,ambiance,brisket,friend,cooked,seating,cute,outside,different,flavorful,free,unique,told,salmon,options,lux,town,delivery,huge
0,Big Guys Pizza,15017,Bridgeville,PA,40.359658,-80.1102325,11,Fast Food,yes,free,yes,none,average,1,casual,no,no,no,yes,69,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,Cora Cupcakes,44077,Painesville,OH,41.7542129,-81.2079865,11,Bakeries,yes,free,yes,none,average,1,casual,outdoor,no,yes,yes,66.36363636,0,10,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,Vertigo Hookah Lounge & Cafe,85281,Tempe,AZ,33.4082884,-111.9169787,31,Breakfast & Brunch,yes,free,yes,none,average,2,casual,yes,yes,no,yes,82.87096774,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,3,3,1,0,0,3,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,2,0,2,0,2,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,0,4,0,4,0,2,0,0,0,2
0,KFC,89014,Henderson,NV,36.0565,-115.041,36,Fast Food,yes,no,yes,none,average,1,casual,no,no,no,yes,97.02777778,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,5,0,0,1,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0
0,The Library Cafe & Bar,53715,Madison,WI,43.0730787,-89.4092156,39,Sandwiches,no,no,yes,full_bar,average,2,casual,no,no,yes,no,116.0769231,2,0,0,0,3,0,0,1,0,10,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,1,0,4,0,0,1,0,0,8,0,0,0,0,4,1,0,1,0,6,1,0,4,0,1,0,7,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,7,1,10,0,7,2,0,2,2,5,0,2,0,2,0,1
1,PVP  Zone,89146,Las Vegas,NV,36.1597364,-115.2301171,16,Pizza,yes,free,yes,none,average,1,casual,outdoor,no,no,yes,65.3125,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,Jimmy John's,89128,Las Vegas,NV,36.194748,-115.252614,21,Pizza,yes,free,yes,none,average,1,casual,outdoor,no,no,yes,111.8095238,0,0,0,0,2,0,0,15,0,0,1,0,7,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,9,0,1,0,1,8,0
0,Taco Bell,44125,Garfield Heights,OH,41.421289,-81.608951,5,Bakeries,yes,no,yes,none,average,1,casual,outdoor,no,no,no,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,Taco Bell,28209,Charlotte,NC,35.171225,-80.845962,17,Coffee & Tea,yes,free,yes,none,average,1,casual,outdoor,no,no,yes,101.1764706,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,Chipotle Mexican Grill,89052,Henderson,NV,36.0033972,-115.1104709,111,Bars,yes,no,yes,beer_and_wine,average,1,casual,outdoor,no,yes,yes,95.71171171,0,0,1,0,2,0,0,0,1,6,2,0,3,3,5,2,1,0,7,0,0,0,0,4,0,0,15,3,0,23,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,4,0,0,0,12,4,11,2,1,1,0,5,0,3,0,1,1,1,0,9,0,0,1,0,0,2,0,0,3,24,1,3,0,13,1,1,0,1,0,2,3,6,0,6,10,0,4,0,6,0,1,0,4,0,1
0,Buca di Beppo Italian Restaurant,44145,Westlake,OH,41.471082,-81.880883,42,Bars,no,no,yes,full_bar,average,2,casual,outdoor,yes,no,yes,138.3809524,3,4,0,0,0,3,0,10,0,1,1,0,5,1,0,1,4,0,0,0,0,3,0,0,1,10,3,2,0,0,4,0,0,0,1,1,0,0,0,2,0,2,0,1,0,1,0,0,0,3,1,0,3,2,2,0,5,0,4,27,4,2,2,0,0,0,1,0,0,0,0,0,0,3,0,0,6,16,0,4,0,1,1,0,1,1,1,0,0,3,1,6,0,1,0,1,0,2,1,2
0,Creekhouse,15205,Pittsburgh,PA,40.4402775,-80.0808269,76,Fast Food,yes,free,yes,full_bar,average,2,casual,outdoor,no,yes,no,105.4605263,3,5,0,0,1,6,0,6,0,17,2,44,6,6,0,0,5,0,2,2,0,0,0,0,0,2,5,2,0,0,9,1,0,0,1,3,0,6,0,1,4,1,0,3,0,1,0,0,1,1,1,0,0,18,1,5,6,0,8,0,3,7,5,0,1,0,2,2,2,5,6,0,0,7,1,2,2,0,0,0,1,6,1,0,10,4,1,0,4,7,0,0,0,3,1,4,0,2,0,9
1,Salut Kitchen Bar,85281,Tempe,AZ,33.421413,-111.914915,536,Chinese,yes,free,yes,full_bar,average,2,casual,no,yes,yes,no,106.6063433,170,19,1,0,44,40,0,29,30,183,68,28,41,52,11,35,45,1,57,2,0,0,133,0,25,28,48,34,10,2,37,10,1,0,29,58,0,7,0,9,17,14,0,32,1,3,0,1,70,4,27,1,13,149,17,0,27,1,24,8,34,72,21,0,12,2,10,11,2,0,0,0,2,26,7,0,6,14,1,6,30,36,34,0,64,14,10,20,42,36,9,35,23,36,38,28,0,19,2,12
