"longitude","latitude","housingMedianAge","totalRooms","totalBedrooms","population","households","medianIncome","medianHouseValue"
-121.32,38.7,17,3214,551,1879,562,4.3643,124900
-122.15,37.45,52,568,91,219,75,6.1575,500001
-121.48,38.56,52,814,216,327,181,2.8542,125000
-118.33,34.18,48,2122,385,926,362,5.6975,231400
-122.67,38.43,17,2007,400,895,403,3.2813,202700
-118.18,34.1,10,1907,398,921,369,4.875,200400
-118.3,33.9,27,3267,762,2099,647,3.4,224100
-119.78,36.75,43,2070,512,1925,444,1.4635,46600
-120.49,40.31,16,1821,360,969,359,3.4643,85100
-119.8,36.76,52,1853,437,764,390,1.6429,69200
-117.19,32.79,35,1788,378,777,374,3.3713,238400
-118.41,34.17,35,2027,428,879,402,4.692,330900
-121.99,37.26,29,2718,365,982,339,7.9234,500001
-118.88,34.19,16,7268,1729,3232,1653,3.3703,228700
-118.99,35.35,32,1293,317,1109,286,1.1786,45600
-120.16,37.12,29,1995,392,1261,354,1.9073,79200
-121.47,38.72,26,1708,299,911,290,4.0227,99800
-122.24,38.12,39,2967,500,1243,523,4.2902,152400
-118.36,34.08,52,1965,480,794,451,3.2824,304800
-122.01,37.31,26,1391,241,700,236,6.6766,332700
-118.24,34.2,41,2067,452,1282,455,5.5756,309900
-118.41,33.96,32,1044,219,567,222,4.1471,284400
-120.04,36.96,23,2126,506,2091,491,1.3713,51800
-119.73,36.59,31,1551,296,1058,287,3.3438,92600
-121.26,38.14,10,3371,665,1823,654,3.5333,116800
-122.26,37.84,50,2239,455,990,419,1.9911,158700
-122.56,37.9,24,221,41,75,38,5.1292,362500
-117.22,33.74,7,1810,386,931,355,2.5221,109200
-119.68,37.19,10,3113,589,1508,512,2.8167,96100
-115.88,32.93,15,208,49,51,20,4.0208,32500
-120.64,35.65,9,3466,673,2356,619,2.9926,158200
-122.49,37.63,34,696,145,398,162,3.525,254100
-118.42,34.19,33,3353,790,2318,775,2.2589,269700
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300
-118.05,33.93,35,2107,480,2241,443,3.1513,150000
-118.35,34.07,52,2497,406,1030,412,4.89,500001
-118.25,33.97,39,1346,380,1520,356,1.1635,108700
-119.78,36.75,31,1404,379,1515,387,1.2813,56400
-118.11,33.96,29,2784,582,1278,550,4.3882,261600
-117.99,33.85,34,1948,306,957,304,4.9777,212600
-119.06,34.37,32,3885,759,2504,736,3.6453,201700
-118.4,34.19,37,934,231,587,230,3.625,181300
-121.81,37.24,21,3250,610,1978,568,4.5,234400
-122.05,38,36,2476,472,1213,393,3.7333,136400
-121.97,37.35,35,1249,232,556,247,3.925,287100
-118.28,34.1,48,805,246,633,235,2.3421,2e+05
-121.23,37.94,20,268,78,77,49,1.125,150000
-118.39,34.19,23,1875,710,2555,657,2.0968,162500
-118.31,34.03,52,1902,406,1233,385,2.8295,132200
-117.07,33.12,21,4578,927,2818,900,3.1458,187700
-117.12,33.61,2,2569,431,1232,388,4.3651,145600
-119,35.4,44,2250,378,928,379,4.3906,93900
-121.88,37.28,33,2951,529,1288,521,4.1554,313100
-122.53,38.01,27,3121,531,1318,489,5.4781,310900
-122.23,37.84,47,3175,454,1098,485,5.2868,347600
-122.29,37.81,49,844,204,560,152,1.75,75000
-118.09,34.06,30,1980,552,2264,511,2.6094,179400
-122.05,37.57,7,10648,1818,6075,1797,6.1047,278200
-122.4,38.46,33,2542,466,1099,420,4.635,248500
-118.84,34.21,16,4975,949,2537,971,5.2361,224700
-118.4,34,10,1526,339,705,268,5.8083,321800
-121.36,38.58,25,3196,406,978,419,8.4699,344000
-117.24,32.74,43,2216,375,918,388,5.5289,297700
-118.3,33.8,27,2790,513,1498,519,5.3106,268300
-122.49,37.86,52,2175,510,809,503,4.5398,442000
-122.27,37.77,23,5679,1270,2690,1151,4.7695,291700
-122.02,37.09,35,1818,368,682,254,4.8611,240000
-118.1,33.79,35,2370,379,996,380,5.7368,287200
-119.33,36.89,15,1879,411,755,294,2,83300
-118.16,34.01,37,690,261,952,255,1.6354,158900
-118.4,34.2,13,4859,1293,3351,1200,3.6875,211900
-117.92,33.81,34,988,173,759,184,5.6047,205100
-121.9,37.44,12,4228,734,2594,732,6.6086,299400
-121.98,37.28,26,1182,309,620,306,3.3922,269100
-119.77,36.84,15,2058,412,891,378,3.2569,124400
-117.3,34.53,38,1643,489,1196,406,1.2275,64100
-117.7,33.54,4,4956,693,1802,625,7.9338,354700
-119.17,34.2,40,1083,319,1843,349,2.3077,106900
-118.37,34.17,10,1431,473,1438,429,2.2756,221400
-118.31,33.83,50,696,311,382,234,2.775,225000
-117.66,34.07,37,2454,511,1165,504,2.9474,139600
-117.97,33.89,15,3801,542,1992,526,9.0683,367400
-119.47,35.13,44,4599,877,2140,831,2.9952,63800
-121.79,36.64,11,32627,6445,28566,6082,2.3087,118800
-120.43,34.97,28,1433,270,1001,278,4.0125,130100
-119.8,36.02,20,156,39,171,37,3.05,225000
-121.59,39.75,20,908,206,481,211,2.2,80800
-118.36,33.88,25,2845,710,1611,628,3.2049,267400
-122.31,37.57,31,2197,477,1193,394,4.6371,271100
-121.05,37.65,5,3096,545,1760,519,4.5701,146400
-119.03,36.13,24,2259,408,1169,395,1.7106,95500
-118.45,34.03,41,1240,320,711,304,3.3482,318100
-118.39,34.04,41,101,23,85,30,4.125,237500
-116.93,33.93,13,7804,1594,3297,1469,2.0549,95600
-117.09,32.79,36,1529,266,683,260,4.0982,171200
-118.43,34.02,42,1528,244,634,242,8.1631,500001
-117.34,34.16,31,1606,354,1049,335,2.1935,72700
-121.81,37.25,5,1975,520,861,440,4.4565,159000
-118.29,34.09,28,1562,648,1974,597,1.9766,112500
