Country,Code,Y_2013,Y_2010,Y_2005,Y_2000
Afghanistan,AFG,250000,460000,780000,1500000
Algeria,DZA,,,,0
Angola,AGO,3400000,2400000,5400000,4800000
Argentina,ARG,0,,190,240
Armenia,ARM,,0,,150
Azerbaijan,AZE,0,0,260,1700
Bangladesh,BGD,700000,670000,1100000,3100000
Belize,BLZ,,180,1800,1700
Benin,BEN,3100000,3200000,3400000,2700000
Bhutan,BTN,,480,2000,6700
Bolivia (Plurinational State of),BOL,10600,20000,30000,48000
Botswana,BWA,1000,3300,2300,26000
Brazil,BRA,230000,440000,820000,1200000
Burkina Faso,BFA,7100000,9400000,7400000,7200000
Burundi,BDI,1400000,1900000,2200000,2800000
C’‚te d'Ivoire,CIV,8300000,9000000,9600000,8700000
Cabo Verde,CPV,,140,220,490
Cambodia,KHM,77000,180000,390000,1500000
Cameroon,CMR,5200000,5700000,8000000,6300000
Central African Republic,CAF,1500000,1600000,1900000,1600000
Chad,TCD,1900000,1900000,2200000,1700000
China,CHN,4800,5900,23000,29000
Colombia,COL,79000,180000,190000,320000
Comoros,COM,124000,140000,120000,110000
Congo,COG,820000,880000,1200000,1100000
Costa Rica,CRI,,120,3900,2100
Democratic People's Republic of Korea,PRK,16000,15000,7400,190000
Democratic Republic of the Congo,COD,21000000,28000000,29000000,24000000
Djibouti,DJI,5400,1600,7900,10000
Dominican Republic,DMA,800,3400,5300,1600
Ecuador,ECU,400,2100,19000,110000
El Salvador,SLV,,,0,820
Equatorial Guinea,GNQ,168000,150000,250000,190000
Eritrea,ERI,74000,93000,28000,70000
Ethiopia,ETH,3800000,4400000,4800000,8900000
Gabon,GAB,350000,230000,230000,440000
Gambia,GMB,440000,420000,420000,420000
Georgia,GEO,0,0,170,270
Ghana,GHA,8300000,9600000,8300000,9200000
Guatemala,GTM,10400,12000,69000,98000
Guinea,GIN,4800000,4500000,4100000,4200000
Guinea-Bissau,GNB,197000,170000,190000,570000
Guyana,GUY,63000,52000,88000,52000
Haiti,HTI,109000,230000,210000,200000
Honduras,HND,11000,21000,37000,81000
India,IND,17000000,21000000,26000000,24000000
Indonesia,IDN,4100000,4200000,5100000,3700000
Iran (Islamic Republic of),IRN,570,2000,21000,22000
Iraq,IRQ,,0,0,2000
Kenya,KEN,6500000,3300000,5200000,7200000
Kyrgyzstan,KGZ,0,,250,
Lao People's Democratic Republic,LAO,93000,69000,50000,260000
Liberia,LBR,1600000,1300000,1500000,1400000
Madagascar,MDG,1200000,650000,1300000,1500000
Malawi,MWI,3500000,6200000,4100000,4800000
Malaysia,MYS,3300,6400,5600,13000
Mali,MLI,7300000,5300000,6100000,5000000
Mauritania,MRT,72000,130000,200000,180000
Mexico,MEX,540,1300,3200,8100
Mozambique,MOZ,9300000,9300000,9300000,9400000
Myanmar,MMR,1200000,1600000,1500000,1400000
Namibia,NAM,8900,2900,70000,84000
Nepal,NPL,14000,37000,83000,110000
Nicaragua,NIC,2400,1400,13000,49000
Niger,NER,4900000,6000000,4600000,3700000
Nigeria,NGA,59000000,59000000,59000000,54000000
Pakistan,PAK,1500000,1500000,4000000,3800000
Panama,PAN,830,490,4300,1200
Papua New Guinea,PNG,1300000,1200000,1400000,1400000
Paraguay,PRY,0,,410,7500
Peru,PER,95000,63000,160000,140000
Philippines,PHL,16000,53000,140000,110000
Republic of Korea,KOR,420,1900,1400,4500
Rwanda,RWA,1300000,1100000,1600000,3400000
Sao Tome and Principe,STP,17000,5100,30000,47000
Saudi Arabia,SAU,,,220,5200
Senegal,SEN,1800000,1600000,1300000,2200000
Sierra Leone,SLE,2500000,2800000,2400000,2000000
Solomon Islands,SLB,42000,70000,220000,190000
Somalia,SOM,690000,280000,1100000,610000
South Africa,ZAF,19000,17000,17000,39000
South Sudan,SSD,1800000,1800000,1800000,2000000
Sri Lanka,LKA,0,750,1800,230000
Sudan,SDN,1300000,1200000,2200000,2400000
Suriname,SUR,1100,2400,14000,20000
Swaziland,SWZ,620,530,970,1900
Tajikistan,TJK,,120,2500,21000
Thailand,THA,127000,120000,120000,220000
Timor-Leste,TLS,90000,110000,270000,250000
Togo,TGO,2600000,2900000,2800000,2500000
Turkey,TUR,,,2300,12000
Uganda,UGA,8100000,14000000,13000000,12000000
United Republic of Tanzania,TZA,5700000,6900000,9700000,12000000
Uzbekistan,UZB,0,,110,140
Vanuatu,VUT,7900,18000,26000,23000
Venezuela (Bolivarian Republic of),VEN,132000,78000,78000,78000
Viet Nam,VNM,23000,25000,39000,200000
Yemen,YEM,460000,510000,630000,770000
Zambia,ZMB,3300000,2200000,2900000,4000000
Zimbabwe,ZWE,1000000,960000,1000000,990000
