"","WHO_region","Country","Code","UN_population","At_risk","At_high_risk","Suspected_malaria_cases"
"1","Eastern Mediterranean","Afghanistan","AFG",31627506,75.58,26.91,390000
"2","African","Angola","AGO",24227524,100,100,3100000
"3","Region of the Americas","Argentina","ARG",42980026,NA,NA,NA
"4","European","Azerbaijan","AZE",9629779,NA,NA,NA
"5","African","Burundi","BDI",10816860,100,100,1400000
"6","African","Benin","BEN",10598482,100,100,3200000
"7","African","Burkina Faso","BFA",17589198,100,100,7000000
"8","South-East Asia","Bangladesh","BGD",159077513,10.36,2.66,8400
"9","Region of the Americas","Belize","BLZ",351706,NA,NA,50
"10","Region of the Americas","Bolivia","BOL",10561887,45.37,2.5,9900
"11","Region of the Americas","Brazil","BRA",206077898,20.3,2.3,180000
"12","South-East Asia","Bhutan","BTN",765008,NA,NA,50
"13","African","Botswana","BWA",2219937,66.3,4.21,710
"14","African","Central African Republic","CAF",4804316,100,100,1400000
"15","Western Pacific","China","CHN",1377240453,NA,NA,50
"16","African","Cote d'Ivoire","CIV",22157107,100,100,7900000
"17","African","Cameroon","CMR",22773014,100,71,5300000
"18","African","Democratic Republic of the Congo","COD",74877030,100,97,19000000
"19","African","Congo","COG",4504962,100,100,800000
"20","Region of the Americas","Colombia","COL",47791393,22.23,4.51,79000
"21","African","Comoros","COM",769991,100,47.58,2900
"22","African","Cabo Verde","CPV",513906,NA,NA,50
"23","Region of the Americas","Costa Rica","CRI",4757606,NA,NA,NA
"24","Eastern Mediterranean","Djibouti","DJI",876174,50,0,5600
"25","Region of the Americas","Dominican Republic","DMA",10405943,48.18,0.92,870
"26","African","Algeria","DZA",38934334,NA,NA,0
"27","Region of the Americas","Ecuador","ECU",15902916,NA,NA,680
"28","African","Eritrea","ERI",5110444,100,71,65000
"29","African","Ethiopia","ETH",96958732,68,27.2,2800000
"30","African","Gabon","GAB",1687673,100,100,400000
"31","European","Georgia","GEO",4034774,NA,NA,NA
"32","African","Ghana","GHA",26786598,100,100,7300000
"33","African","Guinea","GIN",12275527,100,100,4600000
"34","African","Gambia","GMB",1928201,100,100,420000
"35","African","Guinea-Bissau","GNB",1800513,100,100,160000
"36","African","Equatorial Guinea","GNQ",820885,100,100,180000
"37","Region of the Americas","Guatemala","GTM",16015494,76.73,24.9,11000
"38","Region of the Americas","Guyana","GUY",763893,93,35,20000
"39","Region of the Americas","Honduras","HND",7961680,63.37,4.66,7200
"40","Region of the Americas","Haiti","HTI",10572029,100,53,69000
"41","South-East Asia","Indonesia","IDN",254454778,26.13,11.77,1300000
